Distance to Waterway (m),Drainage Direction,Elevation,Fine Earth Density (kg / m^3),Height Above Nearest Drainage (m),Landform Type,Nearest Water Type,Population - 1 km,Population - 10 km,Population - 5 km,Slope (degrees),Soil Clay Fraction,Soil Great Group,Soil Sand Fraction,Upstream Drainage Area (km^2),area,area (km^2),country,id,place_name,risk,type,coordinates,Wind Speed (m/s)
118.30621772837816,south,228,140,15.399993896484375,Lower slope (warm),river,226,11366,7783,14.038749564771944,0.22,1,0.36,0.02597956359386444,1423.8053725775726,0.0014238053725775725,Albania,8f1ed465d72448a,"SH71, Pishaj, Bashkia Gramsh, Elbasan County, Central Albania, 3302, Albania",0.2965646771164643,Point,"[20.197916669923906, 40.836148059313985]",
278.3794738349402,west,639,137,0,Lower slope,river,4779,27713,17897,8.119682569600833,0.26,1,0.34,1.3018919229507446,2348.693223212852,0.002348693223212852,Albania,8f1ed4b5dc6ab63,"Cetushë, Tomin, Bashkia Dibër, Dibër County, Northern Albania, 8304, Albania",0.27832323577059476,Point,"[20.428539603451505, 41.67469505619139]",
1246.3459936265326,northeast,4,150,1.0999999046325684,Lower slope,lake,636,42360,4240,3.3968148164444574,0.3,1,0.31,0.012968000024557114,2841.9124682417723,0.0028419124682417724,Albania,8f1ed44ed829cac,"Grabian, Bashkia Divjakë, Fier County, Southern Albania, 9011, Albania",0.17889750705097243,Point,"[19.59446506430795, 40.94923621719775]",
623.2278654503547,east,-3,148,0.5,Lower slope (flat),drain,1119,154521,60605,0.41195203006026093,0.28,2,0.32,0.0064429836347699165,1551.3696192299653,0.0015513696192299654,Albania,8f1ed4c5275d986,"Durrës, Bashkia Durrës, Durrës County, Northern Albania, 2001, Albania",0.21084968365868745,Point,"[19.449052334275233, 41.368981771899755]",
450.33727892494,northwest,863,151,5.5,Lower slope (flat),reservoir,4452,58803,48759,2.6116989146382164,0.25,1,0.32,0.006517039146274328,10746.645041069878,0.010746645041069878,Albania,8f1ed0bb3b71949,"Rruga Banda Vatra, Korçë, Bashkia Korçë, Korçë County, Southern Albania, 7001, Albania",0.29575862031381717,Point,"[20.762198571286866, 40.60776585762569]",
231.17034585908675,northwest,39,150,3.4000015258789062,Lower slope (flat),river,772,62784,30281,0.7407596661750432,0.26,0,0.33,0.006505040917545557,4132.068038507006,0.004132068038507007,Albania,8f1ed468d79c6e0,"Otllak, Berat, Berat County, Southern Albania, 5010, Albania",0.2835223587042685,Point,"[19.93117147035642, 40.73198679412061]",
139.91377000300403,northeast,95,148,5.5,Lower slope,canal,17185,761983,409584,3.266766756460443,0.27,1,0.38,0.012894055806100368,886.5283727337339,0.0008865283727337339,Albania,8f1ed40354b166b,"Rruga Ëngjëll Mashi, Astir, Lagjja e Re (Mëzez), Kashar, Tirana Municipality, Tirana County, Central Albania, 1051, Albania",0.2923100612474941,Point,"[19.774836970534814, 41.328245541833084]",
171.7000324852462,south,-1,136,0.3999999761581421,Valley,canal,8905,78087,70583,0.8127615145940746,0.23,3,0.38,0.0065300785936415195,1538.6703900258412,0.0015386703900258413,Albania,8f1ed6a8c829a1b,"Vlora, Bashkia Vlorë, Vlorë County, Southern Albania, 9401-9403, Albania",0.30952762719422444,Point,"[19.46567242878373, 40.47184348210976]",
224.395480406134,west,85,149,20.79999542236328,Lower slope,lake,151,17985,2228,4.677673710357377,0.3,0,0.31,0.046051815152168274,1298.1754193302036,0.0012981754193302035,Albania,8f1ed04a00a3cd3,"Vergo, Bashkia Delvinë, Vlorë County, Southern Albania, 9720, Albania",0.22518814594301587,Point,"[20.026492879364493, 39.96167918571603]",
926.2075260587608,northeast,24,152,8.90000057220459,Lower slope,stream,200,92171,14185,3.4211047317870973,0.28,0,0.32,0.07157029211521149,350.2570978862294,0.0003502570978862294,Albania,8f1ed6b430eb6e0,"Zharrëz, Bashkia Patos, Fier County, Southern Albania, 9317, Albania",0.14422861924868507,Point,"[19.64261582428468, 40.71886540496944]",
